codcnh,nombre,municipio,provincia,cod_postal,camas,clase,dependencia,complejo
290528,Hospital de Alta Resolución de Estepona,Estepona,Malaga,29680,14,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Hospital Costa del Sol
300011,Hospital Clínico Universitario Virgen de La Arrixaca,Murcia,Murcia,30120,937,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300026,Hospital General Universitario Reina Sofia,Murcia,Murcia,30003,346,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300032,Hospital Psiquiátrico Román Alberca,Murcia,Murcia,30120,105,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300050,Hospital Quironsalud Murcia,Murcia,Murcia,30011,131,Hospitales Generales,Privados,
300079,Hospital La Vega Grupo Ha,Murcia,Murcia,30008,142,Hospitales Generales,Privados,
300085,Hospital Mesa del Castillo,Murcia,Murcia,30010,76,Otros Centros con Internamiento,Privados,
300098,Sanatorio Dr. Muñoz,Murcia,Murcia,30120,50,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
300119,Hospital Viamed San José,Alcantarilla,Murcia,30820,139,Otros Centros con Internamiento,Privados,
300124,Hospital Comarcal del Noroeste,Caravaca de la Cruz,Murcia,30400,115,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300130,Hospital Centro Medico Virgen de La Caridad Caravaca,Caravaca de la Cruz,Murcia,30400,39,Otros Centros con Internamiento,Privados,
300145,Hospital Santa Maria del Rosell,Cartagena,Murcia,30203,41,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario de Cartagena CHC
300161,Santo y Real Hospital de Caridad,Cartagena,Murcia,30310,154,Hospitales de media y larga estancia,Privados,
300177,Hospital Ntra. Sra. del Perpetuo Socorro,Cartagena,Murcia,30205,205,Otros Centros con Internamiento,Privados,
300196,Hospital Asilo de La Real Piedad de Cehegín,Cehegín,Murcia,30430,40,Hospitales de media y larga estancia,Privados,
300217,Hospital Virgen del Alcázar de Lorca,Lorca,Murcia,30800,175,Otros Centros con Internamiento,Privados,
300222,Hospital General Universitario Los Arcos del Mar Menor,San Javier,Murcia,30739,255,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300243,Hospital Virgen del Castillo,Yecla,Murcia,30510,98,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300256,Hospital Rafael Méndez,Lorca,Murcia,30817,287,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300269,Hospital G. Universitario J.M. Morales Meseguer,Murcia,Murcia,30008,394,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300275,Hospital Ibermutuamur - Patología Laboral,Murcia,Murcia,30100,26,Hospitales especializados,Mútuas Colaboradoras con La Seguridad Social,
300281,Hospital de La Vega Lorenzo Guirao,Cieza,Murcia,30530,124,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
300294,Ribera Hospital de Molina,Molina de Segura,Murcia,30500,83,Otros Centros con Internamiento,Privados,
300317,Clínica San Felipe,Murcia,Murcia,30120,62,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
300339,Hospital de Cuidados Medios Villademar,San Pedro del Pinatar,Murcia,30740,99,Hospitales de media y larga estancia,Privados,
