cod_postal,lat,lon,town
02329,38.7616,-2.2381,Cucharal
02340,38.78473,-2.38623,El Jardin
02350,38.5753,-2.6334,Villapalacios
02360,38.516,-2.6117,Bienservida
02400,38.5106,-1.701,Hellin
02409,38.48025,-1.69952,Cañada De Agra
02410,38.5427,-1.9537,Lietor
02420,38.4867,-1.75,Isso
02430,38.4512,-2.0476,Elche De La Sierra
02434,38.3663,-2.101,Letur
02435,38.333,-1.9851,Socovos
02436,38.35,-2.0,Ferez
02437,38.32415,-1.89485,Cañada De Buendia
02439,38.40902,-2.02513,Vicorto
02440,38.4666,-2.2395,Molinicos
02448,38.52457,-2.29726,Vegallera
02449,38.47771,-2.27001,Cañada De Morote
02450,38.5,-2.45,Riopar
02459,38.50059,-2.41826,El Gollizo
02460,38.46095,-2.52555,Villaverde De Guadalimar
02461,38.4309,-2.5062,Cotillas
02462,38.4219,-2.5503,Campillo
02480,38.3668,-2.3193,Yeste
02484,38.3335,-2.4306,Arguellite
02485,38.3456,-2.3359,Tus
02486,38.42083,-2.23707,Horno Ciego
02487,38.2954,-2.29435,Sege
02489,38.28198,-2.4229,Parolis
02490,38.4219,-1.6375,Agramon
02499,38.41785,-1.61912,Cancarix
02500,38.5925,-1.6906,Tobarra
02510,38.8032,-1.73135,Pozo Cañada
02511,38.7637,-1.8293,Campillo De Las Doblas
02512,38.61088,-1.62618,Casa De Las Monjas
02513,38.56425,-1.6202,Cordovilla
02520,38.9209,-1.7202,Chinchilla De Monte Aragon
02530,38.1472,-2.3013,Nerpio
02534,38.1126,-2.40017,Jutia
02536,38.22552,-2.31132,Beg
02600,39.2683,-2.6035,Villarrobledo
02610,38.95,-2.5402,El Bonillo
02611,38.964,-2.7455,Ossa De Montiel
02612,39.0413,-2.4803,Munera
02614,38.8418,-2.4552,El Ballestero
02620,39.2701,-2.3215,Minaya
02630,39.2063,-2.1582,La Roda
02636,39.1792,-2.137,Villalgordo Del Jucar
02637,39.2446,-2.0696,Fuensanta
02638,39.167,-2.0274,Montalvos
02639,39.0958,-2.24755,Barrax
02640,38.8675,-1.0982,Almansa
02650,38.7886,-1.3272,Montealegre Del Castillo
02651,38.6929,-1.4316,Fuente-Alamo
02652,38.6144,-1.4974,Ontur
02653,38.5704,-1.524,Albatana
02660,38.7049,-0.9876,Caudete
02690,38.9586,-1.2306,Alpera
02691,38.8547,-1.4766,Bonete
02692,38.7712,-1.56083,Pinilla
02693,38.80875,-1.4303,La Higuera
02694,38.9639,-1.4439,Higueruela
02695,38.9006,-1.5282,Villar De Chinchilla
02696,38.9579,-1.5568,Hoya Gonzalo
03001,38.3447,-0.4865,Alicante/Alacant
03002,38.347,-0.4806,Alicante/Alacant
03003,38.3417,-0.4908,Alicante/Alacant
03004,38.3502,-0.4864,Alicante/Alacant
03005,38.3523,-0.4979,Alicante/Alacant
03006,38.3468,-0.5133,Alicante/Alacant
03007,38.3422,-0.5082,Alicante/Alacant
03008,38.3316,-0.5115,Alicante/Alacant
03009,38.3655,-0.4989,Alicante/Alacant
03010,38.3611,-0.4887,Alicante/Alacant
03011,38.3734,-0.4929,Alicante/Alacant
03012,38.3574,-0.4822,Alicante/Alacant
03013,38.3562,-0.4764,Alicante/Alacant
03014,38.3707,-0.4843,Alicante/Alacant
03015,38.3681,-0.4696,Alicante/Alacant
03016,38.3654,-0.4493,Alicante/Alacant
03070,38.3452,-0.4815,Alicante/Alacant
03071,38.3452,-0.4815,Alicante/Alacant
